image_id,positive,negative
15970.jpg,Men Casual Navy Blue Shirt,
39386.jpg,Men Casual Party Blue Jeans,
59263.jpg,Women Casual Silver Watch,
53759.jpg,Men Casual Grey T-shirt,
1855.jpg,Men Casual Chain Reaction T-shirt,
30805.jpg,Men Ethnic Striped Green Shirt,
26960.jpg,Women Casual Purple Shirt,
29114.jpg,Men Casual Pack of 3 Socks,
30039.jpg,Men Casual Black Watch,
9204.jpg,Men Casual Future Cat Remix SF Black Casual Shoes,
48123.jpg,Women Casual Black Huarache Weave Belt,
18653.jpg,Men Casual Cush Flex Black Slippers,
47957.jpg,Women Casual Blue Handbag,
12369.jpg,Men Formal Check Purple Shirts,
29928.jpg,Men Casual Black Dial Watch PL12889JVSB,
47359.jpg,Women Casual Brown Handbag,
17429.jpg,Men Casual Black Digital Watch G-7710-1DR G223,
12967.jpg,Men Casual Spry M Black Sandals,
9036.jpg,Men Formal Flores Black Formal Shoes,
7990.jpg,Men Sports Round Neck Navy Blue T-shirt,
21977.jpg,Women Casual Casual Brown Handbag,
37812.jpg,Men Formal Navy Blue Shirt,
56825.jpg,Men Casual Brown Shirt,
39988.jpg,Men Casual Europa White Shoes,
20099.jpg,Women Ethnic Embroided Green Kurta,
58183.jpg,Women Casual White Handbag,
29742.jpg,Women Casual Teal Handbag,
51658.jpg,Women Casual Copper Chronograph Watch CH2589,
3954.jpg,Women Casual Pink T-shirt,
18839.jpg,Men Formal Formal Black Belt,
23278.jpg,Men Casual Off White Watch,
28690.jpg,Women Ethnic Printed Beige Kurta,
3168.jpg,Men Sports Incinerate MSL White Blue Shoe,
18005.jpg,Men Sports Long Logo Black Bermuda,
17871.jpg,Men Casual Boxer Maroon Brief,
9452.jpg,Men Formal Stripes White Red Shirts,
38402.jpg,Women Casual Hood Dabang Black Belt,
44984.jpg,Women Casual White Dial Watch,
10268.jpg,Men Formal Hang Work Leather Black Formal Shoes,
45856.jpg,Women Ethnic Brown Kurta,
32138.jpg,Men Casual Blue Titanium Briefs,
59435.jpg,Men Formal Black Formal Shoes,
5891.jpg,Men Casual Stripe Polo Black T-shirt,
38630.jpg,Women Casual Purple Polo T-shirt,
11188.jpg,Men Casual Dial steel finish strap Silver Watches,
10866.jpg,Men Casual Motor Rider Red T-Shirts,
15528.jpg,Men Casual Scribble Black Tshirts,
45258.jpg,Men Casual Black Dial Chronograph Watch ED60,
42841.jpg,Women Casual Beige Handbag,
